MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
11086,58401,714,0.14370028674602509
860,52319,98,0.08028965443372726
859,52317,613,0.0810687318444252
929,52581,439,0.0958060771226883
11114,58437,839,0.09656644612550735
929,52581,440,0.09313896298408508
1208,52672,245,0.048094239085912704
1208,52672,302,0.05031868815422058
4449,55544,606,0.04805614799261093
1590,52974,216,0.08549312502145767
1590,52974,211,0.08381562680006027
10666,58440,188,0.08474107831716537
1590,52974,212,0.08355151116847992
1588,52965,637,0.10650293529033661
10660,58466,672,0.10600095242261887
10659,58161,913,0.10037212073802948
1588,52965,390,0.0999816283583641
1589,52972,85,0.0834333747625351
1589,52972,84,0.08436550945043564
1934,53357,341,0.08566203713417053
10660,58466,924,0.08580221980810165
1589,52972,92,0.08326024562120438
1934,53357,346,0.08567776530981064
1589,52972,65,0.08536501973867416
1588,52965,192,0.08431036025285721
10659,58161,137,0.0862593799829483
5809,56353,286,0.11206599324941635
11375,58426,487,0.11215175688266754
1936,53330,327,0.1119164526462555
1936,53330,104,0.13725844025611877
1937,53388,338,0.13762560486793518
1942,53415,452,0.11136146634817123
5806,56310,418,0.11172512918710709
1942,53415,442,0.11254855990409851
1947,53431,437,0.11108720302581787
1947,53431,321,0.11135350912809372
11348,58438,666,0.11050791293382645
1947,53431,361,0.11176389455795288
11348,58438,625,0.11265683174133301
11378,58437,54,0.11150718480348587
11347,58440,688,0.12126735597848892
11347,58440,686,0.12047729641199112
1942,53415,220,0.12155206501483917
1944,53385,377,0.11913210153579712
11347,58440,682,0.1200968399643898
11348,58438,892,0.1127178966999054
1947,53431,146,0.11075776815414429
11348,58438,894,0.11058144271373749
615,52347,535,0.06883914768695831
615,52347,526,0.06978775560855865
615,52347,522,0.06807009875774384
8426,58224,318,0.07035200297832489
2214,53794,366,0.03394104912877083
2214,53794,373,0.03532230481505394
2213,53792,89,0.03326152637600899
2214,53794,364,0.03462827205657959
6481,56363,658,0.13996565341949463
2237,53828,638,0.14000554382801056
2239,53726,392,0.14021721482276917
11397,58522,140,0.1403859555721283
8424,58248,968,0.0604705736041069
8424,58248,932,0.060712989419698715
1420,53146,90,0.09601657837629318
1420,53146,89,0.09561697393655777
1420,53146,82,0.09596587717533112
1420,53146,88,0.09765924513339996
1420,53146,100,0.09711164236068726
1420,53146,85,0.09793277084827423
1870,53383,441,0.1041271835565567
8169,57071,895,0.09539658576250076
1784,54425,382,0.09335698187351227
8169,57071,925,0.09413108974695206
8169,57071,921,0.09471450001001358
7645,57573,636,0.06934668123722076
7645,57573,634,0.06939137727022171
7645,57573,642,0.06892261654138565
5964,56098,933,0.06964457035064697
7649,57574,672,0.10019996762275696
7649,57574,675,0.10010658204555511
7649,57574,676,0.09921842068433762
7769,58420,579,0.11848323792219162
7769,58420,534,0.12040779739618301
7769,58420,574,0.11846400052309036
7768,58289,961,0.12000086903572083
7768,58289,982,0.11899545788764954
7658,57312,792,0.025262588635087013
7706,57575,402,0.025710415095090866
7770,58044,630,0.12446554005146027
7704,57572,110,0.14527612924575806
7704,57572,66,0.14479264616966248
7702,58017,257,0.11807356774806976
7702,58017,224,0.12041690200567245
7703,57333,822,0.1215827539563179
7702,58017,414,0.12164956331253052
6289,56559,67,0.1199740469455719
7704,57572,50,0.11307639628648758
7704,57572,98,0.11177106946706772
6289,56559,206,0.11257436126470566
7703,57333,594,0.11167903244495392
6514,56487,96,0.12304265052080154
