MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
11086,58401,730,0.14442870020866394
11086,58401,726,0.145918071269989
11086,58401,710,0.1435236781835556
11086,58401,704,0.14564956724643707
11086,58401,708,0.14265595376491547
11086,58401,721,0.13873283565044403
11086,58401,728,0.14450596272945404
11086,58401,723,0.14033710956573486
859,52317,612,0.08038181811571121
10288,58131,690,0.0798424631357193
11114,58437,830,0.09330500662326813
11114,58437,792,0.09717810153961182
929,52581,436,0.09203356504440308
1208,52672,240,0.04727253317832947
1208,52672,257,0.05336151644587517
1208,52672,259,0.053468018770217896
1208,52672,216,0.047629568725824356
1208,52672,253,0.052617620676755905
4449,55544,609,0.04672175273299217
4449,55544,578,0.04442042484879494
1208,52672,296,0.05361892655491829
1208,52672,292,0.047597676515579224
1208,52672,260,0.046282827854156494
1208,52672,251,0.054469767957925797
1208,52672,263,0.05347215756773949
1208,52672,304,0.05450247973203659
4449,55544,570,0.04721701145172119
1208,52672,270,0.046534448862075806
4449,55544,614,0.04523555561900139
1208,52672,189,0.049950502812862396
1208,52672,229,0.05107568949460983
1208,52672,235,0.05149006098508835
4449,55544,604,0.045551054179668427
1208,52672,233,0.046154703944921494
1208,52672,286,0.048079196363687515
1207,52672,564,0.045682694762945175
1208,52672,282,0.05038684606552124
1207,52672,574,0.05130373686552048
1208,52672,295,0.04802576079964638
10666,58440,186,0.08481108397245407
1590,52974,173,0.08487994968891144
1590,52974,180,0.08880844712257385
1590,52974,205,0.08927693963050842
5182,56341,862,0.08822204917669296
10666,58440,183,0.0856807604432106
5184,56352,248,0.08756500482559204
10666,58440,184,0.08247465640306473
1590,52974,169,0.08153411000967026
10666,58440,189,0.08206991851329803
1590,52974,203,0.08499900251626968
1590,52974,217,0.08467994630336761
10665,58456,43,0.10495250672101974
1588,52965,629,0.10592277348041534
10660,58466,718,0.10763534158468246
1588,52965,621,0.10526976734399796
1588,52965,628,0.10351238399744034
10660,58466,669,0.10215673595666885
1588,52965,638,0.10456317663192749
10665,58456,86,0.10115430504083633
10660,58466,664,0.10160668939352036
10660,58466,666,0.10766173154115677
1588,52965,627,0.10322129726409912
10665,58456,87,0.10070926696062088
1589,52972,402,0.104066401720047
10665,58456,81,0.10234950482845306
10660,58466,667,0.10430373251438141
10659,58161,910,0.09776773303747177
1589,52972,292,0.102943554520607
1588,52965,397,0.1021253913640976
