MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
11086,58401,702,0.14714361727237701
11086,58401,698,0.14328186213970184
11086,58401,716,0.14322154223918915
11086,58401,706,0.14569047093391418
11086,58401,783,0.14243830740451813
11086,58401,725,0.13899599015712738
10288,58131,686,0.08054707944393158
10288,58131,693,0.08224368840456009
859,52317,580,0.08045464754104614
929,52581,167,0.09584140032529831
1208,52672,258,0.051555369049310684
1208,52672,181,0.04855775460600853
1208,52672,279,0.04987290874123573
1207,52672,568,0.04852932691574097
1208,52672,284,0.047130029648542404
1207,52672,610,0.05207819491624832
1208,52672,278,0.04894093796610832
1208,52672,265,0.052323486655950546
1590,52974,215,0.08558352291584015
1590,52974,202,0.08459758013486862
1590,52974,210,0.08752075582742691
10660,58466,720,0.10444515198469162
1588,52965,634,0.10615438222885132
1589,52972,217,0.10278439521789551
1588,52965,639,0.10356868803501129
10665,58456,42,0.1016017273068428
1589,52972,453,0.10258907079696655
1589,52972,417,0.10696585476398468
1588,52965,623,0.11011975258588791
1588,52965,625,0.1050657406449318
1589,52972,412,0.10114377737045288
1589,52972,297,0.09783511608839035
1588,52965,435,0.09918403625488281
1589,52972,298,0.10210048407316208
1589,52972,289,0.0967002883553505
10660,58466,559,0.10307047516107559
1589,52972,291,0.10105595737695694
1588,52965,436,0.10027953237295151
1589,52972,284,0.10029338300228119
1589,52972,28,0.08372703939676285
1589,52972,25,0.0831216499209404
1589,52972,56,0.08055869489908218
1589,52972,88,0.08539753407239914
1589,52972,73,0.08830297738313675
1589,52972,128,0.0872364491224289
1589,52972,89,0.08474446833133698
1589,52972,21,0.08404620736837387
1589,52972,45,0.08047574758529663
1934,53357,329,0.08886203169822693
1589,52972,53,0.08202390372753143
1587,52964,620,0.08696059882640839
1587,52964,618,0.08380384743213654
1588,52965,226,0.08508642762899399
1588,52965,239,0.08711010962724686
11375,58426,493,0.11171260476112366
11375,58426,498,0.1117476299405098
11344,58438,882,0.13857576251029968
11344,58438,883,0.13755330443382263
1936,53330,58,0.1369626671075821
11344,58438,891,0.13716889917850494
1942,53415,441,0.11115415394306183
11378,58437,529,0.11200965940952301
1947,53431,469,0.11015773564577103
1947,53431,326,0.11025865375995636
11348,58438,664,0.11252079159021378
1947,53431,362,0.11271930485963821
11378,58437,48,0.11312797665596008
1942,53415,206,0.12397744506597519
11347,58440,672,0.12011978775262833
1942,53415,241,0.12163018435239792
1947,53431,101,0.11422563344240189
1947,53431,175,0.11196072399616241
11348,58438,855,0.11113954335451126
11348,58438,854,0.10983927547931671
5794,56282,636,0.10949652642011642
11348,58438,858,0.11065462231636047
11348,58438,898,0.1076994463801384
1947,53431,145,0.11425413936376572
1947,53431,142,0.10747407376766205
1947,53431,104,0.11506807804107666
1947,53431,148,0.11635828763246536
1947,53431,120,0.11380025744438171
615,52347,456,0.0632827952504158
615,52347,531,0.06953461468219757
615,52347,578,0.06787091493606567
615,52347,561,0.06537400931119919
2214,53794,402,0.03533688932657242
2214,53794,417,0.03651886433362961
11397,58522,142,0.139595165848732
11397,58522,97,0.14057044684886932
2237,53828,621,0.13862109184265137
2237,53828,640,0.13849057257175446
11397,58522,138,0.13659162819385529
11397,58522,96,0.1424168050289154
11397,58522,143,0.1394621580839157
11397,58522,101,0.13945835828781128
8068,57185,508,0.05822405964136124
1420,53146,139,0.1002359464764595
1420,53146,133,0.09075076133012772
1420,53146,124,0.10008558630943298
1420,53146,45,0.08954295516014099
1420,53146,6,0.0938841700553894
