MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
10291,58101,59,0.15859152376651764
10291,58101,121,0.1605621874332428
10292,58113,488,0.162095308303833
1060,52636,375,0.15839573740959167
10662,58158,313,0.2601137161254883
10662,58158,309,0.265531986951828
10289,58133,920,0.26561859250068665
10662,58158,315,0.26411163806915283
4457,55858,308,0.23259131610393524
10289,58133,296,0.23576457798480988
10289,58133,295,0.23724587261676788
4457,55858,278,0.23779988288879395
11121,58438,947,0.2891581356525421
1206,52670,154,0.28567343950271606
1206,52670,155,0.2833634614944458
10289,58133,201,0.2917957305908203
1206,52670,141,0.28881365060806274
4457,55858,268,0.2853924334049225
4457,55858,267,0.2860484719276428
10289,58133,203,0.28434157371520996
10289,58133,210,0.29218506813049316
11114,58437,580,0.20380765199661255
11114,58437,574,0.20327164232730865
11114,58437,579,0.20416997373104095
11114,58437,575,0.20615755021572113
11125,58433,526,0.2599323093891144
11121,58438,25,0.26968783140182495
1266,52709,361,0.2646362781524658
11121,58438,33,0.26208919286727905
11125,58433,560,0.2681346833705902
11121,58438,23,0.26237407326698303
11125,58433,522,0.26610931754112244
11121,58438,30,0.2673783004283905
11125,58433,555,0.26524001359939575
11121,58438,36,0.2635309100151062
10657,58157,712,0.16816359758377075
10657,58157,718,0.17281238734722137
10657,58157,716,0.17450466752052307
10657,58157,722,0.1748681515455246
10657,58157,756,0.1759592890739441
1207,52672,196,0.17281432449817657
10657,58157,758,0.17398430407047272
10657,58157,724,0.17568206787109375
10657,58157,761,0.17404583096504211
11124,58430,670,0.24987168610095978
11124,58430,673,0.24775727093219757
11124,58430,674,0.2520655691623688
11124,58430,667,0.24783147871494293
11124,58430,678,0.25028643012046814
11124,58430,675,0.25007832050323486
1586,52945,203,0.24597787857055664
11125,58433,18,0.24094776809215546
11124,58430,418,0.2446499466896057
11124,58430,416,0.24267177283763885
11124,58430,411,0.24943950772285461
11125,58433,19,0.2445286214351654
11124,58430,413,0.24821582436561584
11125,58433,9,0.24659422039985657
1586,52945,208,0.24859625101089478
11125,58433,15,0.24814783036708832
10667,58163,315,0.2568468153476715
10667,58163,354,0.267463356256485
10667,58163,314,0.2657129168510437
10667,58163,312,0.2653439939022064
10667,58163,358,0.262607216835022
10667,58163,356,0.2653287351131439
10667,58163,351,0.2619163691997528
10666,58440,356,0.2835559844970703
1590,52974,299,0.2815181016921997
10666,58440,308,0.28588441014289856
10666,58440,306,0.28720420598983765
10666,58440,345,0.2841619551181793
10666,58440,350,0.2813204228878021
10666,58440,307,0.2855435311794281
10666,58440,352,0.28358402848243713
1269,52937,46,0.19239234924316406
10659,58161,782,0.2015969157218933
1588,52965,343,0.18780052661895752
10659,58161,791,0.19822698831558228
10659,58161,830,0.19124752283096313
10659,58161,790,0.19288888573646545
10659,58161,829,0.19139479100704193
10659,58161,989,0.19533386826515198
10660,58466,605,0.19220466911792755
10660,58466,612,0.196014404296875
10659,58161,995,0.20595793426036835
10660,58466,608,0.20159080624580383
10660,58466,614,0.1967611163854599
10660,58466,571,0.19610978662967682
10659,58161,994,0.2050687074661255
10660,58466,578,0.19834454357624054
10660,58466,567,0.2006341516971588
11376,58430,792,0.2584008574485779
11376,58430,235,0.2568614184856415
