MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
10291,58101,122,0.16248522698879242
10662,58158,312,0.26175200939178467
10289,58133,208,0.23780500888824463
10289,58133,216,0.24204708635807037
10289,58133,259,0.23564976453781128
10289,58133,256,0.23383426666259766
10289,58133,291,0.2400009036064148
10289,58133,206,0.23901024460792542
11121,58438,955,0.28392884135246277
10289,58133,166,0.2823300063610077
10289,58133,177,0.2810363471508026
10289,58133,292,0.29313844442367554
1206,52670,145,0.2830605208873749
1206,52670,158,0.2826312184333801
10289,58133,207,0.29116109013557434
11121,58438,946,0.2804390490055084
4457,55858,258,0.2819579541683197
10289,58133,171,0.2910301983356476
4457,55858,224,0.28637489676475525
11114,58437,614,0.2028135359287262
11114,58437,577,0.19842134416103363
11114,58437,578,0.2062118947505951
11114,58437,459,0.19792242348194122
11114,58437,619,0.2026798576116562
11114,58437,615,0.19787172973155975
928,52578,404,0.20171646773815155
11125,58433,528,0.26725026965141296
11121,58438,9,0.2665824294090271
11125,58433,563,0.2651714086532593
11121,58438,7,0.2690635025501251
11125,58433,554,0.2634585201740265
11121,58438,34,0.26342839002609253
11125,58433,556,0.26565471291542053
11121,58438,27,0.26741424202919006
10657,58157,760,0.16972950100898743
10657,58157,751,0.17152434587478638
10657,58157,726,0.17334643006324768
10657,58157,763,0.17161032557487488
10657,58157,765,0.17226168513298035
11124,58430,672,0.24818108975887299
11124,58430,460,0.24626056849956512
11124,58430,458,0.23991377651691437
11125,58433,10,0.24015206098556519
11124,58430,412,0.24022656679153442
11125,58433,12,0.24957972764968872
11124,58430,375,0.24186107516288757
11125,58433,20,0.24534384906291962
11124,58430,417,0.24693036079406738
10667,58163,317,0.25909924507141113
10667,58163,360,0.26161742210388184
10667,58163,394,0.2632099390029907
5182,56341,676,0.2888542413711548
10666,58440,348,0.28860458731651306
10666,58440,347,0.28930073976516724
5182,56341,666,0.27985405921936035
10660,58466,562,0.20099852979183197
10659,58161,991,0.20040450990200043
10660,58466,570,0.20312117040157318
10659,58161,1000,0.20665638148784637
10660,58466,617,0.19940166175365448
10659,58161,999,0.19658663868904114
10659,58161,971,0.2016366422176361
10659,58161,992,0.20103086531162262
10660,58466,568,0.20076946914196014
10660,58466,572,0.20352217555046082
1589,52972,319,0.19879594445228577
10659,58161,975,0.19937802851200104
10659,58161,973,0.19869285821914673
10660,58466,574,0.19897669553756714
5181,56298,666,0.19862623512744904
11376,58430,225,0.25631850957870483
11376,58430,233,0.25686946511268616
11376,58430,274,0.25729984045028687
5803,56272,90,0.29470357298851013
11346,58429,880,0.2932252585887909
1939,53389,43,0.29695552587509155
11346,58429,876,0.2946029603481293
5796,56274,640,0.2947338819503784
5796,56274,582,0.2899593412876129
11346,58429,871,0.29080823063850403
11344,58438,710,0.23512934148311615
11344,58438,709,0.24299471080303192
11344,58438,716,0.23763781785964966
11344,58438,713,0.2405356764793396
11344,58438,712,0.23584190011024475
1937,53388,473,0.1833776831626892
1937,53388,472,0.18041670322418213
11345,58428,598,0.17936266958713531
11344,58438,999,0.18230947852134705
11344,58438,19,0.18614786863327026
11345,58428,326,0.1835634857416153
11345,58428,325,0.1797034591436386
11345,58428,290,0.18027158081531525
11348,58438,636,0.21135856211185455
11346,58429,926,0.29902639985084534
5796,56274,670,0.29959794878959656
11346,58429,931,0.3006616234779358
11346,58429,935,0.2991166114807129
11346,58429,924,0.3010771870613098
11346,58429,921,0.29389896988868713
5803,56272,21,0.2991611361503601
11346,58429,925,0.29611822962760925
5796,56274,709,0.2977149784564972
5796,56274,676,0.299826443195343
1939,53389,68,0.2994222044944763
11346,58429,923,0.29752397537231445
11348,58438,716,0.25306302309036255
1947,53431,19,0.20654849708080292
11348,58438,78,0.203050434589386
11349,58441,434,0.21077251434326172
11348,58438,30,0.21079948544502258
11348,58438,32,0.2071787714958191
11348,58438,31,0.2081998586654663
11349,58441,606,0.2029324471950531
11349,58441,566,0.2064361721277237
11348,58438,34,0.20457734167575836
11349,58441,436,0.20622368156909943
11348,58438,35,0.20595894753932953
11349,58441,476,0.2493121176958084
11348,58438,95,0.2456163614988327
11348,58438,100,0.24711063504219055
11348,58438,98,0.24671527743339539
11704,58514,620,0.27377185225486755
11703,58526,14,0.23695243895053864
11703,58526,36,0.233817920088768
11703,58526,12,0.2350369393825531
11703,58526,37,0.23549619317054749
11703,58526,38,0.2348746806383133
11704,58514,258,0.219522625207901
5791,56255,316,0.22430570423603058
11704,58514,235,0.22059229016304016
11704,58514,259,0.21885709464550018
11349,58441,950,0.24927914142608643
11380,58462,285,0.24889859557151794
11380,58462,286,0.2497543841600418
5800,56279,120,0.24946686625480652
11349,58441,917,0.25018173456192017
11380,58462,321,0.2465268075466156
1950,53436,149,0.25313687324523926
5800,56279,102,0.24982967972755432
6471,56309,642,0.18654194474220276
6471,56309,644,0.18375802040100098
6471,56309,605,0.18818974494934082
6471,56309,654,0.17982155084609985
6471,56309,608,0.19116009771823883
6471,56309,609,0.18665651977062225
11349,58441,109,0.18261736631393433
6471,56309,648,0.18403369188308716
6471,56309,646,0.18719741702079773
11382,58456,4,0.2451663762331009
11382,58456,999,0.2410430610179901
11353,58467,924,0.2736063599586487
11353,58467,923,0.27127960324287415
11353,58467,934,0.26843923330307007
11353,58467,888,0.27262231707572937
11353,58467,885,0.2717268764972687
11353,58467,921,0.271396666765213
6452,56366,280,0.2733781635761261
6802,56456,43,0.2798868715763092
8423,58198,956,0.2846541702747345
8068,57185,697,0.27069219946861267
7647,57655,712,0.24972988665103912
5954,56462,168,0.25274932384490967
7645,57573,213,0.25883248448371887
7645,57573,204,0.26170456409454346
7645,57573,212,0.26207223534584045
7645,57573,257,0.2575702965259552
7645,57573,291,0.25756168365478516
7645,57573,253,0.25472304224967957
7649,57574,440,0.28755444288253784
5958,56213,914,0.2906940281391144
7649,57574,427,0.28636324405670166
7649,57574,390,0.2868064343929291
5962,56265,203,0.2864435315132141
7649,57574,428,0.2854449152946472
7649,57574,387,0.2883029580116272
7649,57574,429,0.28518909215927124
7649,57574,396,0.28971248865127563
5958,56213,918,0.2880973815917969
11633,58463,108,0.2061830312013626
11633,58463,106,0.20182223618030548
7711,57667,163,0.18083222210407257
7651,57654,552,0.17536456882953644
7711,57667,210,0.1768960803747177
7650,57575,862,0.17643578350543976
7649,57574,948,0.23254889249801636
7649,57574,953,0.23471848666667938
7650,57575,388,0.2424902319908142
7649,57574,988,0.23768700659275055
7650,57575,432,0.23926551640033722
7650,57575,430,0.2339402586221695
7649,57574,991,0.2386474907398224
7649,57574,912,0.23529158532619476
7649,57574,955,0.23485377430915833
7650,57575,390,0.23991771042346954
7650,57575,393,0.23486638069152832
6296,56219,890,0.2974703013896942
7656,57338,508,0.3026058077812195
6296,56219,894,0.29813575744628906
7656,57338,506,0.2975260317325592
6296,56219,936,0.2959437072277069
6296,56219,940,0.2951979637145996
6296,56219,932,0.2989262342453003
7655,57336,952,0.30367612838745117
6296,56219,928,0.29798009991645813
6296,56219,933,0.29384419322013855
6296,56219,930,0.2950553596019745
7649,57574,1000,0.2414073795080185
7650,57575,428,0.24228502810001373
7650,57575,422,0.2355571836233139
7375,56981,644,0.2686217129230499
7375,56981,650,0.27083414793014526
7375,56981,646,0.271230012178421
7280,56709,38,0.26882874965667725
7375,56981,612,0.27693966031074524
7655,57336,472,0.274445503950119
7655,57336,430,0.27618587017059326
7654,57330,975,0.2775401175022125
6300,56449,644,0.16644355654716492
6300,56449,650,0.16964846849441528
7768,58289,356,0.19701126217842102
7768,58289,343,0.19799262285232544
7768,58289,400,0.19433631002902985
7768,58289,692,0.19498443603515625
7768,58289,698,0.19335412979125977
7768,58289,658,0.1990259885787964
7768,58289,648,0.19286172091960907
7768,58289,654,0.19204489886760712
7652,57579,762,0.19353756308555603
7652,57579,761,0.19391706585884094
7768,58289,484,0.19422279298305511
7701,57356,366,0.20723937451839447
7701,57356,380,0.2103540599346161
7669,57329,830,0.21325862407684326
7376,56749,556,0.26779431104660034
7376,56749,560,0.2671794593334198
7281,57007,939,0.26699334383010864
7281,57007,933,0.2635129690170288
7770,58044,825,0.19607648253440857
7770,58044,830,0.19795241951942444
7770,58044,789,0.20358513295650482
7770,58044,834,0.2057453840970993
7765,58047,378,0.20306266844272614
7770,58044,832,0.20055612921714783
7765,58047,376,0.2011881023645401
7770,58044,836,0.1982162594795227
6503,56564,300,0.20400190353393555
7752,58072,771,0.29691487550735474
7752,58072,778,0.29623153805732727
7752,58072,740,0.3019566833972931
6500,56541,122,0.27554258704185486
6512,56567,830,0.27688610553741455
6498,56565,395,0.27437546849250793
6498,56565,440,0.28042054176330566
6498,56565,390,0.2751849293708801
6499,56571,250,0.25391003489494324
7698,58013,639,0.25541427731513977
7698,58013,677,0.25222933292388916
7698,58013,679,0.25360536575317383
6514,56487,948,0.2550467252731323
7698,58013,640,0.2540418803691864
7698,58013,644,0.2537056505680084
6515,56536,558,0.25518864393234253
7698,58013,636,0.25720861554145813
7698,58013,675,0.2514544427394867
7698,58013,674,0.25252437591552734
6512,56567,298,0.20605768263339996
6515,56536,953,0.20126397907733917
6512,56567,336,0.20184555649757385
6515,56536,945,0.20736251771450043
6512,56567,366,0.20706675946712494
6515,56536,914,0.20803560316562653
