MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
10292,58113,764,0.3627931475639343
10293,58132,152,0.36969366669654846
861,52318,82,0.3709157407283783
1060,52636,530,0.32282161712646484
10292,58113,386,0.325212299823761
10293,58132,180,0.3221336603164673
860,52319,345,0.3215773105621338
10292,58113,172,0.3234054148197174
860,52319,343,0.3207102417945862
4451,55537,974,0.37300679087638855
930,52618,542,0.3727475702762604
4451,55537,138,0.42969435453414917
10289,58133,399,0.43009233474731445
4451,55537,168,0.40025389194488525
10288,58131,32,0.40344899892807007
11121,58438,833,0.4381803572177887
11121,58438,768,0.3186646103858948
1206,52670,248,0.3191785514354706
11121,58438,350,0.4436051547527313
931,52619,182,0.409432590007782
4450,55540,590,0.41211727261543274
1207,52672,255,0.4372342824935913
8423,58198,650,0.2997346520423889
613,52345,359,0.3012676239013672
10665,58456,328,0.39041978120803833
10665,58456,326,0.38954973220825195
1935,53387,230,0.30409759283065796
11126,58436,989,0.41177767515182495
5780,56274,124,0.4120039641857147
1939,53389,471,0.4505666196346283
11376,58430,123,0.45077940821647644
11344,58438,918,0.4069584906101227
11345,58428,872,0.3640269339084625
11344,58438,798,0.4440779387950897
1936,53330,136,0.4440203607082367
5779,56338,854,0.4165799915790558
5777,56280,310,0.32787472009658813
2087,53415,96,0.32434484362602234
11378,58437,396,0.30932092666625977
11378,58437,395,0.31048381328582764
1947,53431,525,0.33612892031669617
11379,58438,374,0.3368857800960541
5795,56298,358,0.3577708899974823
6469,56328,668,0.3708721697330475
11381,58464,474,0.3705429136753082
8423,58198,592,0.36684176325798035
610,52056,587,0.3682224154472351
1950,53436,35,0.3799697458744049
11350,58455,674,0.3798699676990509
2348,53757,490,0.32400432229042053
11351,58440,555,0.322832316160202
6451,56358,298,0.419409841299057
2354,53799,448,0.42017892003059387
1969,53383,216,0.3728114068508148
6452,56366,753,0.3743162155151367
11384,58522,321,0.37439972162246704
2354,53799,295,0.3258715271949768
11353,58467,445,0.3476637899875641
11352,58456,49,0.34988588094711304
11353,58467,450,0.34679046273231506
6489,56329,905,0.34399497509002686
11401,58491,25,0.3447708189487457
2110,53467,251,0.3435772955417633
6489,56329,705,0.44617125391960144
8424,58248,584,0.3614148199558258
6802,56456,282,0.3625584840774536
4956,55737,352,0.4217304289340973
10918,58254,440,0.42272689938545227
5961,56460,874,0.30406031012535095
7711,57667,470,0.3729778826236725
5955,56456,931,0.3726269602775574
1783,53386,370,0.42033258080482483
8169,57071,363,0.41806262731552124
6585,56479,182,0.34274017810821533
