MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
4453,55535,105,0.5668743848800659
4458,55536,585,0.5657738447189331
4457,55858,233,0.4973776936531067
11123,58429,430,0.45993614196777344
8417,58175,943,0.5859625935554504
6982,56444,81,0.5890921354293823
5778,56328,553,0.4795202910900116
5780,56274,174,0.47836318612098694
5808,56325,241,0.5478810667991638
11376,58430,331,0.4578483998775482
5803,56272,306,0.4993581771850586
5792,56269,145,0.6412187218666077
11347,58440,863,0.4718742072582245
5802,56309,153,0.4748474657535553
11704,58514,362,0.469193696975708
5791,56255,643,0.4651782214641571
6489,56329,759,0.45989757776260376
11401,58491,185,0.4603476822376251
2104,53852,1,0.461626797914505
8426,58224,876,0.4564219117164612
5956,56104,417,0.5814704298973083
6294,56482,593,0.4697783887386322
6297,56218,663,0.5349835157394409
6586,56485,207,0.5369516015052795
7651,57654,57,0.49422937631607056
6296,56219,637,0.49280422925949097
5956,56104,157,0.4821062386035919
6506,56564,15,0.45402511954307556
6499,56571,513,0.4819571375846863
6501,56563,887,0.48439985513687134
7761,58071,730,0.4812822937965393
6503,56564,83,0.4897209703922272
7770,58044,956,0.493083119392395
6583,56566,223,0.49455025792121887
6581,56540,537,0.48867490887641907
7770,58044,17,0.4916611611843109
6289,56559,983,0.544403612613678
6587,56537,589,0.5450679659843445
6583,56566,322,0.5450960397720337
6305,56563,515,0.5139096975326538
6514,56487,820,0.5882156491279602
5945,56213,153,0.5910304188728333
7281,57007,183,0.5886623859405518
6281,56295,297,0.4767027795314789
5124,55894,591,0.534695029258728
3682,55244,846,0.5840053558349609
1784,54425,633,0.487626850605011
4464,55866,138,0.4589664340019226
11085,58462,347,0.5135172009468079
11675,58523,454,0.4855296313762665
5776,56010,881,0.5099127888679504
6299,56478,147,0.49711874127388
6308,56215,771,0.5518030524253845
6123,56217,227,0.518415093421936
7102,56666,613,0.601421058177948
7095,56625,55,0.5946589112281799
6187,56244,297,0.5296789407730103
6186,56246,823,0.5267347693443298
7588,56903,554,0.5309925079345703
7618,56898,677,0.476594477891922
6199,56220,693,0.4780876636505127
5140,55836,593,0.5979660749435425
11067,58507,151,0.599875807762146
