MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
10288,58131,467,0.5587940812110901
10289,58133,178,0.4940972924232483
11123,58429,429,0.4606863856315613
11678,58511,527,0.48215726017951965
11376,58430,421,0.5580013394355774
5808,56325,291,0.5491539835929871
11375,58426,59,0.5431420207023621
5803,56272,537,0.4508354663848877
11346,58429,623,0.49763473868370056
1942,53415,106,0.4776766300201416
5802,56309,159,0.4699167311191559
11347,58440,902,0.47819623351097107
5791,56255,645,0.471779465675354
11401,58491,188,0.45247501134872437
2104,53852,15,0.45715826749801636
6489,56329,757,0.4715544581413269
11401,58491,181,0.46395447850227356
6489,56329,749,0.45826801657676697
5152,56010,445,0.5414503216743469
7280,56709,961,0.5416361689567566
1872,53386,616,0.5382615327835083
7652,57579,835,0.47102653980255127
6586,56485,249,0.5437790751457214
6296,56219,639,0.4865391254425049
6296,56219,633,0.49124276638031006
7651,57654,59,0.48714810609817505
6296,56219,635,0.490945965051651
6296,56219,642,0.48454731702804565
7655,57336,668,0.48958614468574524
5956,56104,159,0.48408883810043335
7650,57575,277,0.4780833423137665
7769,58420,40,0.45368966460227966
6584,56568,427,0.4537661075592041
6501,56563,884,0.48424243927001953
6502,56544,431,0.493953138589859
7765,58047,167,0.4919673204421997
6583,56566,222,0.48443764448165894
6583,56566,226,0.5111048221588135
7702,58017,708,0.4943496286869049
6581,56540,533,0.5006625056266785
7702,58017,702,0.49897152185440063
7702,58017,714,0.5003864169120789
7770,58044,1,0.4815724194049835
6581,56540,531,0.49987801909446716
7702,58017,706,0.4851575791835785
6583,56566,195,0.48391303420066833
6583,56566,197,0.48468777537345886
7770,58044,26,0.49884724617004395
6581,56540,535,0.4935934543609619
6583,56566,321,0.5477015376091003
7668,57579,554,0.5176050066947937
7701,57356,52,0.5093187093734741
6304,56570,137,0.5098252296447754
7700,58016,973,0.5997525453567505
6514,56487,811,0.5968362092971802
3701,55540,605,0.5864642858505249
7661,57286,837,0.4798898696899414
6281,56295,298,0.48651760816574097
7661,57286,834,0.4824056625366211
7661,57286,836,0.46932369470596313
6281,56295,309,0.48029688000679016
6281,56295,296,0.4727559983730316
5124,55894,583,0.5341657996177673
5703,56190,93,0.5368481278419495
7300,56707,686,0.589551568031311
3682,55244,851,0.5857625007629395
5150,56329,669,0.4911821186542511
5148,56220,61,0.4811910390853882
8197,57064,456,0.4801935851573944
5150,56329,670,0.48909783363342285
5150,56329,665,0.4916081130504608
8197,57064,486,0.4828338623046875
5148,56220,29,0.48734939098358154
11084,58427,849,0.46198612451553345
11084,58427,852,0.4620712697505951
11085,58462,304,0.5104109644889832
4480,55591,473,0.5102767944335938
11085,58462,348,0.5162966847419739
11675,58523,464,0.4848845601081848
11675,58523,486,0.48321768641471863
5773,56009,759,0.48741766810417175
5773,56009,755,0.48367467522621155
5776,56010,414,0.48682862520217896
11675,58523,452,0.4857225716114044
5776,56010,893,0.5112452507019043
5776,56010,889,0.5124301910400391
6299,56478,143,0.499914288520813
7586,57186,327,0.4997141361236572
7613,56988,434,0.5479817986488342
6308,56215,765,0.5556688904762268
6123,56217,229,0.5145068764686584
8178,57428,706,0.5871095657348633
8184,57426,447,0.6143401265144348
7102,56666,605,0.6110961437225342
7095,56625,43,0.6050043702125549
8184,57426,406,0.5927753448486328
7589,56946,213,0.5185115337371826
7589,56946,211,0.5353797674179077
6187,56244,299,0.5382269620895386
11067,58507,150,0.6097719669342041
11067,58507,160,0.6006540060043335
5140,55836,600,0.5989050269126892
5140,55836,367,0.5520873665809631
424,51893,505,0.5416560173034668
11068,58488,564,0.5504768490791321
11067,58507,86,0.5460839867591858
5128,55912,316,0.5131317377090454
5128,55912,303,0.5120605826377869
5123,55841,69,0.6210587620735168
5119,55836,495,0.6093949675559998
5123,55841,77,0.6183483004570007
5119,55836,491,0.6180848479270935
11060,58523,622,0.5681595802307129
5137,55833,235,0.5656251907348633
7094,56660,97,0.4645797908306122
8172,57423,746,0.4651980698108673
6707,56383,745,0.47334665060043335
7094,56660,95,0.4679395258426666
8178,57428,338,0.4626462757587433
6707,56383,741,0.4631716012954712
6707,56383,754,0.4635705053806305
8172,57423,750,0.46433085203170776
8172,57423,751,0.47205615043640137
8172,57423,760,0.4652385413646698
7094,56660,81,0.46441274881362915
8178,57428,364,0.4676228165626526
6707,56383,759,0.4686991274356842
8164,57127,511,0.4655156135559082
8171,57135,162,0.4612138867378235
8171,57135,126,0.473728209733963
8164,57127,524,0.4627065658569336
8171,57135,165,0.4743434190750122
8164,57127,529,0.4671715497970581
8171,57135,124,0.4589654803276062
8164,57127,528,0.4698753356933594
8164,57127,526,0.47313791513442993
8164,57127,534,0.4666537046432495
1312,52781,450,0.515944242477417
7577,56944,997,0.5419710874557495
7581,57195,579,0.5400028228759766
4550,55894,681,0.4541204273700714
4550,55894,721,0.4515829384326935
11073,58451,430,0.488214910030365
11073,58451,436,0.4823129177093506
4554,56193,667,0.4856519401073456
11053,58437,126,0.48710179328918457
11070,58452,197,0.6164805293083191
11071,58429,585,0.6130438446998596
4548,55565,373,0.6197505593299866
6831,56426,243,0.5054477453231812
8215,58197,436,0.5125709772109985
6831,56426,247,0.5180741548538208
8214,57867,90,0.4623817503452301
6681,56419,752,0.47110459208488464
6833,56413,242,0.4706162214279175
6681,56419,749,0.4643140733242035
6833,56413,244,0.46633172035217285
8217,58172,455,0.4909921884536743
6680,56420,71,0.49723219871520996
6680,56420,36,0.49904605746269226
6760,56425,70,0.5775131583213806
6760,56425,71,0.5857269763946533
6828,56430,455,0.5857596397399902
8204,58146,310,0.5833508372306824
8218,57519,114,0.4824860394001007
6157,56238,231,0.4722457826137543
11554,58456,349,0.46966904401779175
11554,58456,351,0.4696286618709564
6157,56238,229,0.46394577622413635
11554,58456,350,0.4677269458770752
4274,55508,313,0.6212065815925598
8759,57700,857,0.6234232783317566
8203,57428,23,0.4896036982536316
6801,56487,272,0.49112680554389954
7821,57279,909,0.5552502870559692
7821,57279,904,0.5506483316421509
7821,57279,902,0.5545091032981873
4259,55501,737,0.5544229745864868
8206,57424,198,0.47518524527549744
8400,57837,682,0.45043671131134033
8400,57837,721,0.45875445008277893
8412,58172,101,0.500189483165741
8411,57875,647,0.5006911754608154
8428,57837,965,0.6130027770996094
6797,56426,183,0.6207097768783569
6711,56388,471,0.49893176555633545
8399,57843,336,0.4942130446434021
6710,56416,43,0.5001097321510315
8399,57843,166,0.4541396498680115
8400,57837,566,0.45685189962387085
6795,56425,709,0.5392768979072571
8416,57894,878,0.5382882356643677
6795,56425,707,0.5355356931686401
6795,56425,701,0.5452437996864319
6789,56401,53,0.5405416488647461
4426,56105,545,0.5635340213775635
4090,55500,331,0.6130684614181519
6789,56401,243,0.5109984278678894
6789,56401,213,0.5149585008621216
8411,57875,38,0.4736611843109131
8416,57894,531,0.4763906002044678
6794,56448,863,0.48638853430747986
6789,56401,415,0.48482850193977356
6789,56401,402,0.47945255041122437
4293,55509,645,0.6691164970397949
11305,58449,44,0.660592257976532
4293,55509,643,0.6630972623825073
11306,58450,842,0.465082585811615
11306,58450,848,0.4610804617404938
4413,55894,803,0.46528497338294983
4413,55894,801,0.46267035603523254
6153,56164,31,0.628296971321106
6153,56164,27,0.6235859990119934
4535,55860,495,0.6262801289558411
6800,56399,47,0.5873156785964966
6800,56399,52,0.5881387591362
6800,56399,49,0.591454029083252
6153,56164,221,0.4526821970939636
4280,55503,823,0.5538535118103027
4279,55508,425,0.5466182827949524
4279,55508,426,0.5480079054832458
