MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
10289,58133,179,0.4967418313026428
11123,58429,432,0.45460420846939087
4460,55533,811,0.45984891057014465
11123,58429,433,0.4574514329433441
11123,58429,400,0.4594835042953491
11123,58429,398,0.4580979645252228
11123,58429,439,0.45893219113349915
4460,55533,813,0.46046292781829834
8417,58175,945,0.5936537384986877
11678,58511,565,0.4793403148651123
5780,56274,177,0.47396811842918396
5808,56325,283,0.5595532655715942
5803,56272,529,0.4565991461277008
11376,58430,285,0.4626938998699188
11345,58428,988,0.5003675222396851
5797,56273,966,0.49515870213508606
11345,58428,987,0.5004590749740601
5803,56272,337,0.49973663687705994
5803,56272,339,0.5003744959831238
5792,56269,149,0.6366782188415527
11676,58512,177,0.6436669230461121
11378,58437,374,0.46972256898880005
11378,58437,412,0.46756240725517273
11401,58491,191,0.46031007170677185
11401,58491,187,0.4618178904056549
8426,58224,873,0.4603162705898285
8426,58224,874,0.45411932468414307
6799,56478,176,0.4605274796485901
8426,58224,872,0.45890477299690247
7650,57575,537,0.5881315469741821
5956,56104,413,0.5856366753578186
5956,56104,363,0.5823369026184082
5956,56104,411,0.5824724435806274
5956,56104,419,0.5784264206886292
5956,56104,418,0.5816829800605774
7649,57574,904,0.5785769820213318
5149,55944,933,0.5409852862358093
5149,55944,935,0.5418370366096497
6294,56482,595,0.4671911299228668
6585,56479,981,0.47014233469963074
7652,57579,833,0.4666050374507904
6508,56535,207,0.46897533535957336
6296,56219,629,0.4921693205833435
6296,56219,643,0.4974619448184967
6296,56219,603,0.4977438747882843
6296,56219,646,0.4941597878932953
7769,58420,39,0.454459547996521
6501,56563,897,0.487102210521698
7761,58071,722,0.48016321659088135
6503,56564,91,0.4885510206222534
7765,58047,169,0.4879626929759979
7765,58047,107,0.49022144079208374
6583,56566,196,0.48918217420578003
6583,56566,235,0.5034675598144531
7770,58044,61,0.505405604839325
6581,56540,539,0.5022013783454895
7702,58017,715,0.5031915903091431
6583,56566,232,0.5076835751533508
6581,56540,516,0.49911123514175415
6581,56540,538,0.5015833377838135
6289,56559,985,0.5385460257530212
6289,56559,987,0.5530152916908264
6289,56559,981,0.5374652743339539
7702,58017,619,0.5431373119354248
6514,56487,818,0.5895081758499146
6514,56487,845,0.5917418599128723
6281,56295,307,0.47323474287986755
6281,56295,339,0.4856354892253876
7661,57286,832,0.4724059998989105
6281,56295,262,0.47521713376045227
6281,56295,302,0.4721284806728363
6281,56295,340,0.46976959705352783
3682,55244,850,0.5747562050819397
4528,55559,629,0.5830038189888
3682,55244,855,0.5768909454345703
3682,55244,857,0.5753331184387207
8197,57064,488,0.4814631938934326
5150,56329,625,0.48253190517425537
8197,57064,482,0.47700950503349304
4464,55866,133,0.4588829576969147
11085,58462,345,0.5175768733024597
4480,55591,477,0.508834958076477
4480,55591,463,0.509345293045044
11675,58523,468,0.4889369308948517
7586,57186,326,0.4949258863925934
6308,56215,767,0.5523055195808411
6123,56217,185,0.5197529792785645
6123,56217,221,0.5213678479194641
7607,56902,670,0.5196139216423035
7102,56666,533,0.6070371866226196
7102,56666,617,0.5970486402511597
8184,57426,404,0.5967787504196167
6187,56244,295,0.5276597738265991
7588,56903,558,0.5269530415534973
7589,56946,206,0.5319617986679077
6186,56246,905,0.53314208984375
6186,56246,870,0.5330889821052551
7618,56898,681,0.47230297327041626
11067,58507,115,0.5870968699455261
5140,55836,563,0.5960770845413208
5138,55830,990,0.5941401124000549
5140,55836,419,0.553246259689331
5128,55912,349,0.5071955919265747
5123,55841,71,0.6106680035591125
5119,55836,497,0.6168502569198608
5137,55833,269,0.5728060603141785
5137,55833,273,0.5721228122711182
5137,55833,233,0.5770893692970276
8178,57428,336,0.46269556879997253
8178,57428,378,0.45669421553611755
7094,56660,101,0.4681949019432068
8178,57428,370,0.4677717685699463
8178,57428,367,0.4615248143672943
8172,57423,794,0.46331551671028137
8178,57428,324,0.4661022126674652
7094,56660,82,0.4684179127216339
7094,56660,83,0.4651007056236267
8178,57428,368,0.463339239358902
7094,56660,85,0.4673682153224945
6707,56383,750,0.46362459659576416
8172,57423,754,0.46713054180145264
8178,57428,361,0.4717114567756653
8172,57423,338,0.48409873247146606
8164,57127,513,0.4619811773300171
8164,57127,515,0.46520939469337463
6705,56636,113,0.46742841601371765
8165,57374,947,0.4612790048122406
8171,57135,177,0.4740186929702759
8171,57135,167,0.45936477184295654
8234,57450,744,0.5209395885467529
5023,55858,325,0.5978541374206543
5029,55750,927,0.5930623412132263
11064,58430,408,0.4627401530742645
11064,58430,409,0.46112871170043945
11071,58429,621,0.626671552658081
11070,58452,182,0.6199375987052917
4548,55565,379,0.6156725287437439
6831,56426,297,0.5103884935379028
6831,56426,299,0.5178778767585754
6831,56426,259,0.5054417252540588
8214,57867,95,0.46319836378097534
6760,56425,67,0.5883726477622986
6828,56430,451,0.5903272032737732
6828,56430,460,0.5975064039230347
6157,56238,232,0.47022196650505066
6157,56238,190,0.4730411469936371
11554,58456,390,0.4676112234592438
11554,58456,352,0.46812328696250916
11554,58456,356,0.4641742706298828
11554,58456,348,0.46600502729415894
6157,56238,226,0.4654918313026428
6157,56238,224,0.4676811695098877
8206,57424,195,0.472805380821228
8206,57424,189,0.47512179613113403
5017,55715,736,0.633960485458374
7028,56449,884,0.6361874341964722
7030,56448,725,0.6308934688568115
6806,56419,269,0.5059967041015625
8412,58172,102,0.5049015283584595
6806,56419,311,0.5111938714981079
6797,56426,187,0.6127317547798157
6797,56426,158,0.6148033142089844
8402,57843,413,0.6181747317314148
8428,57837,969,0.6180166602134705
8399,57843,337,0.4989207684993744
8403,57834,948,0.4553964138031006
6789,56401,59,0.543113112449646
11337,58431,822,0.5591644048690796
4090,55500,327,0.6148597598075867
6794,56448,875,0.4720233976840973
8416,57894,532,0.4804433584213257
6794,56448,873,0.47845980525016785
6794,56448,918,0.4815806746482849
8411,57875,998,0.47755593061447144
6794,56448,469,0.5863572359085083
7864,56979,412,0.523611843585968
4365,55539,707,0.6749416589736938
4365,55539,705,0.6769055128097534
4302,55531,879,0.4685066342353821
4303,55508,425,0.4690915644168854
7855,57011,836,0.47990894317626953
7855,57011,790,0.46982547640800476
4302,55531,878,0.47154900431632996
7855,57011,795,0.47448959946632385
7855,57011,793,0.4688807427883148
4302,55531,247,0.6186423897743225
4370,55534,653,0.5420126914978027
4369,55827,998,0.5387707352638245
7869,57012,971,0.5466288328170776
4369,55827,968,0.55046147108078
4369,55827,965,0.5539851784706116
7871,56902,497,0.5511676073074341
3606,55182,641,0.4906940460205078
4232,55447,882,0.49047234654426575
4233,55449,527,0.49027034640312195
7839,56900,161,0.4940132796764374
8400,57837,666,0.4535073935985565
8400,57837,702,0.46220922470092773
4261,55503,248,0.5928668975830078
4261,55503,245,0.5905885696411133
7822,57041,451,0.5672133564949036
3651,55247,227,0.5658453702926636
1164,52674,582,0.5413764715194702
8396,57837,886,0.5315659046173096
4384,56105,543,0.4861847162246704
9141,57663,376,0.4898615777492523
9141,57663,340,0.49067506194114685
4288,55501,817,0.5516117811203003
4288,55501,855,0.549788773059845
9154,58013,283,0.6031962633132935
9154,58013,290,0.5970667600631714
4212,55447,701,0.4788001477718353
9176,58080,182,0.47851037979125977
9176,58080,192,0.4825666844844818
9154,58013,845,0.4732557237148285
9154,58013,842,0.4751068651676178
7848,56959,803,0.46674785017967224
7905,57666,554,0.4650939106941223
7894,57339,300,0.47177746891975403
7838,56958,458,0.475893497467041
3668,55478,633,0.6082382798194885
3689,55180,902,0.5495304465293884
3700,55542,895,0.5383838415145874
3700,55542,893,0.544633686542511
3689,55180,663,0.5432825684547424
3690,55182,477,0.552401065826416
3689,55180,709,0.5458547472953796
7301,56746,499,0.5420219898223877
7300,56707,99,0.5468587875366211
7377,56741,947,0.5467538237571716
3689,55180,707,0.5475902557373047
7377,56741,945,0.5484795570373535
3689,55180,665,0.5440384149551392
7377,56741,919,0.5431975722312927
3687,55269,144,0.5457291007041931
7293,56741,335,0.604058027267456
5161,55968,886,0.5542263388633728
7320,56722,955,0.5457550287246704
5161,55968,890,0.5520554184913635
8182,56993,297,0.4952095150947571
5738,56002,922,0.4984230697154999
8182,56993,296,0.5093628168106079
5738,56002,929,0.5067132711410522
8182,56993,255,0.5044184327125549
5738,56002,959,0.5033262968063354
5738,56002,923,0.5062075853347778
5738,56002,957,0.506218433380127
6695,56628,300,0.5172410607337952
6694,56386,715,0.5223361849784851
8167,57071,522,0.5185169577598572
8167,57071,955,0.4486813247203827
8166,57130,387,0.4873718023300171
6692,56390,547,0.6137126088142395
6692,56390,551,0.6108619570732117
7395,57131,605,0.6179501414299011
8159,57064,269,0.4846857190132141
6691,56413,97,0.4838288724422455
7400,57134,598,0.4810854196548462
6674,56416,783,0.5942750573158264
6680,56420,290,0.5918221473693848
6674,56416,753,0.5962631702423096
7415,57097,333,0.4587416350841522
6759,56416,277,0.47482040524482727
