# col1      z        survey   logLX   mag    
  0.0583    0.746    6        42.1    23.9   
  0.0952    0.518    6        41.94   21.8   
  0.106     1.018    6        42.67   23.1   
  0.265     3.428    6        44.26   23.0   
  0.264     1.97     6        43.72   23.2   
  0.05      1.429    6        42.69   25.1   
  0.0262    0.743    6        41.75   24.7   
  0.0595    0.778    6        42.15   22.6   
  0.361     0.963    6        43.15   22.3   
  0.0857    1.14     6        42.69   24.1   
  0.261     1.157    6        43.19   24.1   
  0.0595    1.475    6        42.79   24.5   
  0.134     3.244    6        43.91   23.2   
  0.0524    0.785    6        42.1    23.7   
  0.421     0.726    6        42.93   23.0   
  0.025     1.363    6        42.34   25.0   
  0.23      1.295    6        43.25   25.4   
  0.0309    1.132    6        42.24   24.3   
  0.468     1.897    6        43.94   24.0   
  0.0571    1.125    6        42.5    23.6   
  0.214     1.393    6        43.29   25.4   
  0.0488    1.722    6        42.86   24.9   
  0.111     1.101    6        42.77   24.2   
  0.0631    1.65     6        42.93   24.3   
  0.227     2.472    6        43.88   25.4   
  0.0785    1.702    6        43.05   25.3   
  0.0738    0.786    6        42.25   23.1   
  0.117     1.514    6        43.11   24.5   
  0.0678    0.607    6        41.95   22.1   
  0.375     1.483    6        43.6    26.0   
  0.143     1.21     6        42.98   24.1   
  0.221     0.42     6        42.1    20.2   
  0.0321    2.009    6        42.83   24.5   
  0.0369    0.649    6        41.76   22.1   
  0.0583    1.674    6        42.91   24.4   
  0.0321    0.614    6        41.64   22.4   
  0.0559    1.591    6        42.84   25.1   
  0.0762    1.008    6        42.52   23.4   
  0.164     0.75     6        42.55   22.1   
  0.489     0.814    6        43.11   22.6   
  0.113     0.882    6        42.55   23.6   
  0.406     0.679    6        42.84   21.5   
  0.12      2.19     6        43.48   24.2   
  0.0988    0.739    6        42.32   22.9   
  0.025     1.951    6        42.69   24.8   
  0.146     1.701    6        43.32   23.7   
  0.0452    1.354    6        42.59   25.1   
  0.558     2.83     6        44.4    25.4   
  0.0476    2.508    6        43.21   25.7   
  0.0428    0.752    6        41.97   24.3   
  0.0885    1.615    7        43.05   25.3   
  0.0349    0.943    7        42.11   26.8   
  0.144     1.4465   7        43.16   27.4   
  0.0224    2.316    7        42.81   -1.0   
  0.027     0.69     7        41.68   24.7   
  0.065     2.302    7        43.27   24.8   
  0.018     1.219    7        42.08   24.6   
  0.26      1.544    7        43.48   25.4   
