       0.0 &        0.1 &      176.0 &      653.0 \\ 
       0.1 &        0.2 &      304.0 &     1461.0 \\ 
       0.2 &        0.3 &      262.0 &     1514.0 \\ 
       0.3 &        0.4 &      178.0 &     1214.0 \\ 
       0.4 &        0.5 &       99.0 &     1037.0 \\ 
       0.5 &        0.6 &       77.0 &      792.0 \\ 
       0.6 &        0.7 &       49.0 &      665.0 \\ 
       0.7 &        0.8 &       42.0 &      595.0 \\ 
       0.8 &        0.9 &       24.0 &      500.0 \\ 
       0.9 &        1.0 &       31.0 &      396.0 \\ 
       1.0 &        1.1 &       14.0 &      317.0 \\ 
       1.1 &        1.2 &       13.0 &      288.0 \\ 
       1.2 &        1.3 &        5.0 &      225.0 \\ 
       1.3 &        1.4 &       19.0 &      214.0 \\ 
       1.4 &        1.5 &        6.0 &      161.0 \\ 
       1.5 &        1.6 &        3.0 &      134.0 \\ 
       1.6 &        1.7 &        4.0 &      110.0 \\ 
       1.7 &        1.8 &        3.0 &      103.0 \\ 
       1.8 &        1.9 &        3.0 &       85.0 \\ 
       1.9 &        2.0 &        3.0 &       49.0 \\ 
       2.0 &        2.1 &        1.0 &       29.0 \\ 
       2.1 &        2.2 &        4.0 &       33.0 \\ 
       2.2 &        2.3 &        4.0 &       29.0 \\ 
       2.3 &        2.4 &        1.0 &       18.0 \\ 
       2.4 &        2.5 &        1.0 &       14.0 \\ 
       2.5 &        2.6 &        3.0 &        8.0 \\ 
       2.6 &        2.7 &        0.0 &        8.0 \\ 
       2.7 &        2.8 &        0.0 &        6.0 \\ 
       2.8 &        2.9 &        0.0 &        7.0 \\ 
       2.9 &        3.0 &        1.0 &        4.0 \\ 
       3.0 &        3.1 &        1.0 &        6.0 \\ 
       3.1 &        3.2 &        1.0 &        2.0 \\ 
       3.2 &        3.3 &        0.0 &        1.0 \\ 
       3.3 &        3.4 &        0.0 &        3.0 \\ 
       3.4 &        3.5 &        0.0 &        1.0 \\ 
       3.5 &        3.6 &        0.0 &        1.0 \\ 
       3.6 &        3.7 &        0.0 &        6.0 \\ 
       3.7 &        3.8 &        0.0 &        0.0 \\ 
       3.8 &        3.9 &        0.0 &        0.0 \\ 
       3.9 &        4.0 &        1.0 &        1.0 \\ 
